0.0	10.454596	N
10.454596	14.628775	G:maj
14.628775	18.826145	G:maj
18.826145	24.259614	G:maj
24.259614	25.350952	C:maj
25.350952	26.43068	G:maj
26.43068	27.476822	A:min
27.476822	28.590136	C:maj
28.590136	33.965555	G:maj
33.965555	35.056893	C:maj
35.056893	36.159841	G:maj
36.159841	37.239569	A:min
37.239569	38.261247	C:maj
38.261247	39.886643	G:maj
39.886643	40.954761	D:maj
40.954761	41.53526	C:maj
41.53526	43.090997	G:maj
43.090997	44.159115	D:maj
44.159115	44.728004	C:maj
44.728004	46.318571	G:maj
46.318571	47.409909	C:maj
47.409909	49.688051	G:maj
49.688051	53.981156	G:maj
53.981156	58.334897	G:maj
58.334897	63.733537	G:maj
63.733537	64.848095	C:maj
64.848095	65.927823	G:maj
65.927823	67.03077	A:min
67.03077	68.075668	C:maj
68.075668	73.567188	G:maj
73.567188	74.670136	C:maj
74.670136	75.738253	G:maj
75.738253	76.864421	A:min
76.864421	77.920929	C:maj
77.920929	79.523106	G:maj
79.523106	80.649274	D:maj
80.649274	81.206553	C:maj
81.206553	82.85517	G:maj
82.85517	83.911678	D:maj
83.911678	84.503786	C:maj
84.503786	86.071133	G:maj
86.071133	87.174081	C:maj
87.174081	89.898035	G:maj
89.898035	91.492993	N
91.492993	93.687278	Bb:maj
93.687278	95.904784	D:min
95.904784	98.07585	G:min
98.07585	102.452811	A:min
102.452811	104.577437	D:maj
104.577437	110.185056	G:maj
110.185056	111.264784	C:maj
111.264784	112.344512	G:maj
112.344512	113.41263	A:min
113.41263	114.503968	C:maj
114.503968	119.949047	G:maj
119.949047	121.086825	C:maj
121.086825	122.143333	G:maj
122.143333	123.281111	A:min
123.281111	124.372448	C:maj
124.372448	126.009455	G:maj
126.009455	127.135623	D:maj
127.135623	127.669682	C:maj
127.669682	129.329909	G:maj
129.329909	130.456077	D:maj
130.456077	131.013356	C:maj
131.013356	132.650362	G:maj
132.650362	133.77653	C:maj
133.77653	136.522468	G:maj
136.522468	138.176712	N
138.176712	140.405827	Bb:maj
140.405827	142.658163	D:min
142.658163	144.864058	G:min
144.864058	149.28746	A:min
149.28746	151.423696	D:maj
151.423696	156.938435	G:maj
156.938435	158.064603	C:maj
158.064603	159.121111	G:maj
159.121111	160.246358	A:min
160.246358	161.361836	C:maj
161.361836	166.946235	G:maj
166.946235	168.072403	C:maj
168.072403	169.128911	G:maj
169.128911	170.301519	A:min
170.301519	171.427687	C:maj
171.427687	173.076303	G:maj
173.076303	174.179251	D:maj
174.179251	174.75975	C:maj
174.75975	176.408367	G:maj
176.408367	177.546145	D:maj
177.546145	178.115034	C:maj
178.115034	179.77526	G:maj
179.77526	180.959478	C:maj
180.959478	184.142577	G:maj
184.142577	185.394489	N
185.394489	189.794671	G:maj
189.794671	211.236447	G:maj
211.236447	250.0	N
